type_id,name,jita_sell,cn4od_sell,landed_price,profit_per_unit,margin,volume_m3,jita_avg_units_day,jita_avg_isk_day
1230,Veldspar,10.47,2500.0,111.52,2388.48,228.1264,0.1,32507795.1,366377167.0
62530,Compressed Rich Plagioclase,38.0,3524.0,45.3,3478.7,91.5447,0.0035,53907914.3,2355897347.0
62528,Compressed Plagioclase,35.8,3201.0,42.88,3158.12,88.2156,0.0035,129313059.8,5199709658.0
62525,Compressed Solid Pyroxeres,29.8,1700.0,35.78,1664.22,55.8463,0.003,43414755.9,1735737199.0
62534,Compressed Golden Omber,129.8,6754.0,148.78,6605.22,50.8877,0.006,5101252.3,732457272.0
62536,Compressed Kernite,220.0,11240.0,254.0,10986.0,49.9364,0.012,3329757.2,897292514.0
62537,Compressed Luminous Kernite,233.8,11000.0,269.18,10730.82,45.8974,0.012,737957.9,184827172.0
1227,Omber,119.9,5990.0,731.89,5258.11,43.8541,0.6,1767223.3,301355097.0
62524,Compressed Pyroxeres,32.58,1400.0,38.84,1361.16,41.7791,0.003,58685769.5,2371784252.0
81350,Kerr Sequencer,163.1,6487.0,180.41,6306.59,38.667,0.001,1133112.0,281602905.0
57453,Carbon Fiber,2545.0,100100.0,2999.5,97100.5,38.1534,0.2,416686.2,524636905.0
183,Fusion S,21.99,800.0,26.69,773.31,35.1665,0.0025,916482.1,21110386.0
62564,Compressed Bistot,3329.0,90000.0,3821.9,86178.1,25.8871,0.16,361959.9,1526227346.0
82300,Compressed Kylixium,265.7,3999.0,304.27,3694.73,13.9056,0.012,4299973.3,1500885885.0
82301,Compressed Kaolin Kylixium,285.0,3999.0,325.5,3673.5,12.8895,0.012,3066532.3,1087614504.0
25595,Alloyed Tritanium Bar,2462.0,32000.0,2718.2,29281.8,11.8935,0.01,254000.9,703818884.0
82303,Compressed Adobe Kylixium,318.1,3999.0,361.91,3637.09,11.4338,0.012,997775.4,399431841.0
81349,Fermionic Sequencer,85.01,499.8,94.51,405.29,4.7675,0.001,999819.7,79835696.0
82304,Compressed Nocxite,854.0,3374.0,979.4,2394.6,2.804,0.04,506599.2,437437933.0
82305,Compressed Fragrant Nocxite,867.9,3374.0,994.69,2379.31,2.7415,0.04,308805.2,258937655.0
81348,Alignment Sequencer,66.0,248.8,73.6,175.2,2.6545,0.001,1435771.3,91701505.0
215,Iron Charge S,6.29,25.0,9.42,15.58,2.4771,0.0025,1341460.6,8999806.0
1828,Mjolnir Auto-Targeting Cruise Missile I,320.7,900.0,402.77,497.23,1.5505,0.05,700061.8,261882320.0
25592,Defective Current Pump,12180.0,28000.0,13408.0,14592.0,1.198,0.01,216449.5,3409832027.0
179,Nuclear S,7.87,20.0,11.16,8.84,1.1236,0.0025,262917.1,2319471.0
20,Kernite,524.2,2233.0,1776.62,456.38,0.8706,1.2,2519567.3,1669376474.0
235,Thorium Charge L,63.09,145.0,94.4,50.6,0.802,0.025,360976.3,43695440.0
216,Tungsten Charge S,8.73,19.0,12.1,6.9,0.79,0.0025,424883.7,3002258.0
28332,Republic Fleet Depleted Uranium L,1043.0,1786.0,1172.3,613.7,0.5884,0.025,349061.9,430548355.0
2514,Inferno Rocket,5.52,14.16,11.07,3.09,0.5594,0.005,860553.1,9807831.0
16660,Ceramic Powder,1191.0,2000.0,1510.1,489.9,0.4113,0.2,283638.4,278175950.0
180,Proton S,15.0,25.0,19.0,6.0,0.4,0.0025,195800.9,2611508.0
204,Inferno Cruise Missile,213.9,365.0,285.29,79.71,0.3727,0.05,714834.9,158302987.0
16681,Nanotransistors,3911.0,5945.0,4552.1,1392.9,0.3561,0.25,2161223.5,8807804002.0
217,Iridium Charge S,11.99,19.9,15.69,4.21,0.3512,0.0025,691846.4,9545145.0
21935,Republic Fleet Titanium Sabot L,1088.0,1590.0,1221.8,368.2,0.3384,0.025,292484.5,376500747.0
42840,Rapid Deployment Charge,518.9,749.9,580.79,169.11,0.3259,0.01,228089.9,153493315.0
82319,Compressed Opaque Griemeer,169.9,250.0,194.89,55.11,0.3244,0.008,215252.0,37706621.0
47885,Tetryon Exotic Plasma S,426.9,611.5,479.59,131.91,0.309,0.01,360973.8,194590085.0
47924,Baryon Exotic Plasma S,380.4,538.0,428.44,109.56,0.288,0.01,392686.8,204565147.0
178,Carbonized Lead S,4.0,8.03,6.9,1.13,0.2825,0.0025,449110.6,2770053.0
41314,Hail XL,2877.0,4100.0,3289.7,810.3,0.2816,0.125,402940.0,1365339141.0
16648,Hafnium,8300.0,11480.0,9180.0,2300.0,0.2771,0.05,2221467.6,24189641603.0
16649,Technetium,15240.0,21000.0,16814.0,4186.0,0.2747,0.05,1308197.9,21116141242.0
12787,Null L,212.6,312.0,258.86,53.14,0.25,0.025,1599987.2,414262416.0
202,Mjolnir Cruise Missile,318.1,478.9,399.91,78.99,0.2483,0.05,882692.4,310118907.0
47975,Crystalline Isogen-10,50740.0,67990.0,56114.0,11876.0,0.2341,0.3,265621.6,18914127308.0
27377,Caldari Navy Mjolnir Cruise Missile,1688.0,2253.0,1906.8,346.2,0.2051,0.05,618949.4,1105412529.0
